Sensor,Date_Time,Date,Time,Count
Waterfront City,2018-12-31T21:00:00Z,2019-01-01,8,19
New Quay,2018-12-31T21:00:00Z,2019-01-01,8,90
Flagstaff Station,2018-12-31T21:00:00Z,2019-01-01,8,NA
Sandridge Bridge,2018-12-31T21:00:00Z,2019-01-01,8,159
State Library,2018-12-31T21:00:00Z,2019-01-01,8,83
Collins St (North),2018-12-31T21:00:00Z,2019-01-01,8,73
Collins Place (South),2018-12-31T21:00:00Z,2019-01-01,8,68
Collins Place (North),2018-12-31T21:00:00Z,2019-01-01,8,33
Chinatown-Swanston St (North),2018-12-31T21:00:00Z,2019-01-01,8,113
Chinatown-Lt Bourke St (South),2018-12-31T21:00:00Z,2019-01-01,8,25
Bourke St-Russell St (West),2018-12-31T21:00:00Z,2019-01-01,8,99
Flinders St-Elizabeth St (East),2018-12-31T21:00:00Z,2019-01-01,8,NA
Spencer St-Collins St (South),2018-12-31T21:00:00Z,2019-01-01,8,70
Spencer St-Collins St (North),2018-12-31T21:00:00Z,2019-01-01,8,377
Melbourne Convention Exhibition Centre,2018-12-31T21:00:00Z,2019-01-01,8,134
QV Market-Elizabeth St (West),2018-12-31T21:00:00Z,2019-01-01,8,163
QV Market-Peel St,2018-12-31T21:00:00Z,2019-01-01,8,17
The Arts Centre,2018-12-31T21:00:00Z,2019-01-01,8,124
St Kilda Rd-Alexandra Gardens,2018-12-31T21:00:00Z,2019-01-01,8,83
Lonsdale St (South),2018-12-31T21:00:00Z,2019-01-01,8,86
Lygon St (West),2018-12-31T21:00:00Z,2019-01-01,8,36
City Square,2018-12-31T21:00:00Z,2019-01-01,8,NA
Flinders St-Spring St (West),2018-12-31T21:00:00Z,2019-01-01,8,18
